TITLE="sinsin"
VARIABLES="x", "y", "z"
ZONE T="sin(x)sin(y)", I=100, J=100, F=POINT
2.9531 0.439823 0.0797827
3.01593 0.439823 0.0533639
3.07876 0.439823 0.0267345
3.14159 0.439823 -4.43278e-07
3.20443 0.439823 -0.0267354
3.26726 0.439823 -0.0533648
3.33009 0.439823 -0.0797836
3.39292 0.439823 -0.105887
3.45575 0.439823 -0.131574
3.51858 0.439823 -0.15674
3.58142 0.439823 -0.181288
3.64425 0.439823 -0.205121
3.70708 0.439823 -0.228144
3.76991 0.439823 -0.250267
3.83274 0.439823 -0.271402
3.89558 0.439823 -0.291466
3.95841 0.439823 -0.31038
4.02124 0.439823 -0.328069
4.08407 0.439823 -0.344463
4.1469 0.439823 -0.359498
4.20974 0.439823 -0.373113
4.27257 0.439823 -0.385257
4.3354 0.439823 -0.39588
4.39823 0.439823 -0.40494
4.46106 0.439823 -0.412403
4.52389 0.439823 -0.418238
4.58673 0.439823 -0.422422
4.64956 0.439823 -0.424939
4.71239 0.439823 -0.425779
4.77522 0.439823 -0.424939
4.83805 0.439823 -0.422422
4.90089 0.439823 -0.418237
4.96372 0.439823 -0.412402
5.02655 0.439823 -0.40494
5.08938 0.439823 -0.395879
5.15221 0.439823 -0.385256
5.21505 0.439823 -0.373113
5.27788 0.439823 -0.359497
5.34071 0.439823 -0.344462
5.40354 0.439823 -0.328068
5.46637 0.439823 -0.310379
5.5292 0.439823 -0.291465
5.59204 0.439823 -0.271401
5.65487 0.439823 -0.250266
5.7177 0.439823 -0.228143
5.78053 0.439823 -0.20512
5.84336 0.439823 -0.181287
5.9062 0.439823 -0.156739
5.96903 0.439823 -0.131572
6.03186 0.439823 -0.105886
6.09469 0.439823 -0.0797822
6.15752 0.439823 -0.0533634
6.22036 0.439823 -0.026734
0 0.502655 0
0.0628319 0.502655 0.0302496
0.125664 0.502655 0.0603798
0.188496 0.502655 0.0902717
0.251327 0.502655 0.119807
0.314159 0.502655 0.14887
0.376991 0.502655 0.177345
0.439823 0.502655 0.205121
0.502655 0.502655 0.232087
0.565487 0.502655 0.258137
0.628319 0.502655 0.283168
0.69115 0.502655 0.307081
0.753982 0.502655 0.329783
0.816814 0.502655 0.351183
0.879646 0.502655 0.371198
0.942478 0.502655 0.389747
1.00531 0.502655 0.406758
1.06814 0.502655 0.422164
1.13097 0.502655 0.435904
1.19381 0.502655 0.447923
1.25664 0.502655 0.458175
1.31947 0.502655 0.466619
1.3823 0.502655 0.473221
